"X","names","stars","food_scores","overrate_scores","price_scores","service_scores"
1,"--ujyvoQlwVoBgMYtADiLA",3.5,0.108997326061913,0.788290473879994,0.598853338265212,0.975695137976347
1,"-1xCh7Cocn6IwFzhELyohA",2.5,0.146654406713381,0.71916545366327,0.598853338265212,0.956120893561104
1,"-382X_bWhJKPJKP1VfXOmw",2,0.0915268926302884,0.738411774219634,0.522655816534122,0.895516425755585
1,"-7teXSpi9nqy58WUd-8yfw",4.5,0.152964055085238,0.764903768397218,0.564823377103754,0.953724047306176
1,"-8F04F54iDT6VgWPCgybug",4.5,0.188000042275701,0.822416302765648,0.564823377103754,0.961660972404731
1,"-CfqFIH6rxUxJL9gR-k_XA",2.5,0.121521502478413,0.721817887756752,0.550397632698354,0.937177398160315
1,"-Enu_Cc8lJ-yVcRvatf0hw",4,0.128000253654206,0.753291282548924,0.564823377103754,0.953724047306176
1,"-Ewxv_Wc1uQzJQQBeQJWyA",1.5,0.110762336577993,0.752062105773896,0.564823377103754,0.951789750328515
1,"-InU2nAbC9AuS-Um2Cowgw",4,0.142733335447118,0.768397218178878,0.492324764194563,0.960115637319317
1,"-Js0NjBhIXdH343IDLeKpA",2.5,0.120675988458734,0.7209121785541,0.564823377103754,0.928714848883049
1,"-N94ldMGlQw_SHdfm2pi_A",3.5,0.105953475591067,0.752062105773896,0.564823377103754,0.951789750328515
1,"-RxzvvyKBOPOzeTvagqEfg",2.5,0.120570299206274,0.752062105773896,0.564823377103754,0.955658344283837
1,"-WgUeWBmBR6l_6RFEPzzaw",3.5,0.120570299206274,0.752062105773896,0.564823377103754,0.951789750328515
1,"-Z83meSvAH4vJ6dfO8hjUw",4,0.102877918344484,0.755296781497655,0.645274643980026,0.953650459921156
1,"-k80VNg0yqYQakKZILwViQ",3.5,0.11253791601932,0.72747857027333,0.564823377103754,0.951789750328515
1,"-m3VtLuy5sEzpJoOU5zYUg",4.5,0.120570299206274,0.735532912825489,0.564823377103754,0.951789750328515
1,"-nHkhiuerqmfBG3v2v9O-g",2.5,0.120570299206274,0.752062105773896,0.564823377103754,0.953724047306176
1,"-qSmAF1bILHpcuqsQMDTgg",4,0.136402549224769,0.771340773087498,0.564823377103754,0.951789750328515
1,"-s3nJbZRXLMSpwud22iIPA",2.5,0.113182620459325,0.746821931101407,0.564823377103754,0.937934296977661
1,"09pf_DnQV5Y5y2reoIPXlw",3.5,0.10747540082649,0.770887918486172,0.632328463103385,0.936956636005256
1,"0AoLth4u_V4mOx8Az_AIYQ",4,0.141052876333006,0.774478408539544,0.755132235990383,0.954417871222076
1,"0GYM_KIMzwH_CeL6S279Pw",4,0.122842618134162,0.758013909105612,0.564823377103754,0.951789750328515
1,"0Ge4hEQ8HYnrkfm8UHj2BQ",4,0.149592567931767,0.817920103509623,0.663214351766229,0.961597897503285
1,"0HaSwss_agyMiGTT9kIX6g",3,0.14359998731729,0.762445414847162,0.564823377103754,0.954880420499343
1,"0IfrcGbFzQvn9w8bl9GKDg",4.5,0.195577961677077,0.768947113051917,0.720362493064546,0.960178712220762
1,"0IhSOm9Vm1JkvRO6XyElGg",4,0.139721191752011,0.756622998544396,0.564823377103754,0.941172141918528
1,"0MR1J0U8uOXtvZlHV-johQ",4.5,0.130695329591934,0.753097202005499,0.61586831884594,0.951663600525624
1,"0OkfU0vDBprsIEd5hWuhAQ",5,0.216515002589387,0.796312469674915,0.640281117070464,0.950980289093298
1,"0PJQ-WR-S286xH6m2RWeQw",3.5,0.124491370472537,0.71822739770338,0.564823377103754,0.957613666228646
1,"0PVxodALQu-soL5J8bjerQ",3.5,0.109092446389127,0.820346110302442,0.847789901978916,0.901382391590013
1,"0SySGK7xWEHSo4ZLvD1C0A",2,0.123984062060729,0.75924308588064,0.564823377103754,0.951789750328515
1,"0Z-IUyIOGb1lil5YRk7GAg",3.5,0.120570299206274,0.771340773087498,0.600517847235066,0.955658344283837
1,"0bjFYstj8USMzEV4ZQldjA",5,0.209032203515225,0.808280769852822,0.48196781949325,0.983537450722733
1,"0dRqzEG9-2QNnvJtdpdDZw",2.5,0.072851601720621,0.724082160763383,0.538376179027187,0.926570302233903
1,"0h4RFNScYBmtNhXAdz_UBA",4,0.160203768878743,0.746304382985606,0.519326798594415,0.947931668856767
