,Unnamed: 0,AcceptsInsurance,AgesAllowed,Alcohol,Ambience_casual,Ambience_classy,Ambience_divey,Ambience_hipster,Ambience_intimate,Ambience_romantic,Ambience_touristy,Ambience_trendy,Ambience_upscale,BYOB,BYOBCorkage,BestNights_friday,BestNights_monday,BestNights_saturday,BestNights_sunday,BestNights_thursday,BestNights_tuesday,BestNights_wednesday,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking_garage,BusinessParking_lot,BusinessParking_street,BusinessParking_valet,BusinessParking_validated,ByAppointmentOnly,Caters,CoatCheck,Corkage,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_dessert,GoodForMeal_dinner,GoodForMeal_latenight,GoodForMeal_lunch,HappyHour,HasTV,Music_background_music,Music_dj,Music_jukebox,Music_karaoke,Music_live,Music_no_music,Music_video,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,stars
21,21,Na,Na,none,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,False,False,True,False,False,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,casual,True,True,1,True,Na,False,Na,Na,no,-IFq5ULEK4Fl8ZzrArtB5g,4.0
27,27,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,True,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,1,Na,Na,False,Na,Na,no,-LccesU7Hg_OVBPLH2DkIg,4.0
34,34,Na,Na,none,True,False,False,False,False,False,False,False,False,Na,no,Na,Na,Na,Na,Na,Na,Na,False,Na,True,False,True,False,False,False,Na,True,Na,Na,Na,Na,Na,True,False,False,False,True,False,True,Na,False,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,False,True,2,False,True,True,Na,Na,no,-R2kwt0qMnzwEdAfXPvkXg,4.0
45,45,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,1,Na,Na,True,Na,True,no,-W4gdvXVwi2nTkAIjqaJzA,3.5
47,47,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,1,Na,Na,True,Na,Na,Na,-WRLKqr9TXFYp0LtBB6ACg,5.0
57,57,Na,Na,beer_and_wine,True,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,False,False,True,False,False,Na,True,Na,Na,Na,Na,Na,True,False,False,False,False,False,True,Na,False,Na,Na,Na,Na,Na,Na,Na,average,Na,True,casual,False,False,2,False,Na,True,Na,Na,no,-httBl6DSZiUtDX4SQWtag,4.0
59,59,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,False,True,True,False,False,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,2,Na,Na,True,Na,Na,Na,-igpUhnA1b5iUK6rfAtuPw,4.5
68,68,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,1,False,Na,True,Na,Na,Na,-syU1HD-Iw_GEH8P5l03_A,4.0
69,69,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,True,False,True,False,False,False,Na,True,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,1,Na,Na,True,Na,True,no,-u4r4iIVk8wO1Morjhq05w,5.0
77,77,Na,Na,none,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,False,True,False,False,False,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,True,Na,Na,Na,Na,Na,Na,Na,quiet,Na,False,casual,False,True,2,True,Na,True,Na,Na,no,01I5pFCvJrrGuY3A-KoNIA,3.0
80,80,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,False,False,True,False,False,False,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,1,Na,Na,True,Na,True,no,08t3_HjbpLyPeuft6eoa5A,4.5
102,102,Na,Na,none,False,False,False,False,False,False,False,False,False,Na,Na,Na,Na,Na,Na,Na,Na,Na,True,Na,True,True,False,False,False,False,Na,True,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,False,Na,Na,Na,Na,Na,Na,Na,average,Na,False,casual,True,True,2,False,Na,True,Na,Na,Na,0Q0v-eDzWtaySg7cbVi0yg,3.5
