,names,stars,NOTbad,NOTgood,NOTmuch,amaz,averag,awesom,bad,basic,beauti,best,better,big,clean,complet,cool,crowd,deli,delici,disappoint,easi,fantast,favorit,fine,free,fresh,fun,good,great,happi,hate,high,huge,kind,larg,least,less,long,new,nice,ok,okay,old,origin,perfect,pertti,pleas,pleasant,plenti,quick,recommend,regular,serious,slow,small,soft,special,spici,surpris,sweet,tasti,top,warm,well,worth,wrong
0,--GM_ORV2cYS-h38DSaCLw,3.5,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,5,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1
1,-2dlgoN1ass-zmrE5rqHGw,2.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,-40RDS4F54qiGiEQUsZaXA,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-7PX_FOoCwktlunImRyZdg,4.5,0,4,1,16,2,2,2,3,1,28,5,4,0,1,2,4,0,34,4,1,11,17,3,0,11,2,49,41,7,0,5,0,3,2,7,1,5,12,21,5,1,0,3,15,0,3,2,1,7,6,2,2,0,7,0,5,8,0,5,3,10,0,17,3,2
4,-8ILwSisSrTzcyy_Z0o9oA,3.5,2,0,1,1,0,1,0,0,0,3,3,0,0,0,7,0,0,1,1,2,0,0,0,3,4,7,17,8,1,0,1,0,2,0,2,1,3,0,3,0,0,1,0,2,0,0,0,0,0,6,7,1,1,2,3,0,0,0,0,4,6,2,5,6,2
5,-HLGtKB3XtyawZAuvNoQjQ,3.0,0,0,0,0,2,2,0,0,0,1,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
6,-LiVt5oFhC-AA4nCH77DjQ,4.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,3,0,4,5,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,-Lovf0jkQtvb6Y_WjDn-sw,3.5,0,1,0,4,1,1,2,0,1,3,3,0,0,0,1,0,0,0,3,0,2,0,0,0,2,0,11,6,0,0,0,3,2,4,0,0,0,0,3,3,0,0,0,0,0,3,0,0,1,2,0,1,0,3,2,0,0,0,0,3,2,0,2,2,0
8,-O7uy8mcz1UEO-D604dRPw,4.0,0,0,0,3,0,1,0,0,0,6,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,12,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,7,0,0,0,0
9,-OHcd6mJL90wiQYE1e3gGg,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
