,names,stars,NOTbad,NOTgood,NOTmuch,amaz,averag,awesom,bad,basic,beauti,best,better,big,clean,complet,cool,crowd,deli,delici,disappoint,easi,fantast,favorit,fine,free,fresh,fun,good,great,happi,hate,high,huge,kind,larg,least,less,long,new,nice,ok,okay,old,origin,perfect,pertti,pleas,pleasant,plenti,quick,recommend,regular,serious,slow,small,soft,special,spici,surpris,sweet,tasti,top,warm,well,worth,wrong
0,-7H-oXvCxJzuT42ky6Db0g,3.5,19,11,4,38,33,55,33,9,7,41,41,22,3,6,48,19,0,58,24,1,17,30,23,8,12,42,355,273,21,3,26,30,21,35,11,7,30,33,80,45,13,2,2,23,0,7,7,7,26,44,11,5,24,14,7,15,4,7,20,31,40,2,71,19,13
1,-BuZrOMqgO4OU_UKYSddAg,3.0,0,1,0,1,0,0,3,1,0,1,0,0,5,1,2,0,0,0,0,0,0,0,0,1,1,12,4,12,0,2,3,0,1,2,0,0,0,1,5,2,0,2,0,0,0,0,0,0,1,2,0,2,1,0,1,1,0,0,0,0,0,0,6,0,0
2,-DUQQsE2QvFIuqO5EiChQA,4.5,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-FcuxZqsQ0FO35GEXExwjw,3.5,0,1,1,0,1,1,2,0,0,2,1,1,1,0,1,1,0,7,0,0,2,2,0,0,6,2,22,17,1,0,0,1,3,2,1,0,5,3,10,0,2,1,0,2,0,0,3,1,0,1,0,0,0,3,0,2,0,1,0,5,1,0,5,1,0
4,-HgbBv9Yjqv735F9fwCZNg,2.5,3,1,0,3,4,3,6,2,0,9,17,3,2,3,4,2,0,7,4,2,0,4,2,4,1,2,81,17,3,1,1,0,4,0,6,6,3,3,7,4,4,2,0,1,0,2,1,0,8,3,2,2,3,2,1,1,2,0,10,2,4,2,15,2,7
5,-JjKeyuY8h2gbV1FcpiYcQ,3.0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,7,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
6,-SChP5zffbKeXWsJ6Rz5ig,4.5,3,1,0,7,3,6,2,1,0,6,4,0,0,0,1,0,0,8,1,0,6,3,0,1,0,2,31,37,2,0,2,2,1,1,0,1,2,6,11,4,0,0,0,4,0,0,2,1,1,7,0,0,0,3,0,2,0,0,3,0,5,0,6,2,0
7,-SX8276QNjtSMu3ZIIcpLA,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-SYMuJ9jfIMkXUMYl_RFfw,4.0,0,0,1,6,2,0,0,1,1,7,0,0,0,0,1,2,0,13,0,0,5,2,3,3,4,0,39,22,3,0,3,0,2,2,0,0,2,6,24,5,3,2,0,8,0,0,2,2,1,3,1,0,0,6,4,3,0,1,2,8,3,9,9,2,1
9,-WVF5DKZeEWlMK8Cucto-A,3.5,0,4,1,23,5,4,5,0,10,17,10,1,3,3,2,3,0,25,9,0,9,2,12,4,8,7,78,60,11,0,7,2,6,5,4,2,3,7,34,6,6,1,0,14,0,1,3,1,3,7,2,4,3,5,1,6,3,5,8,5,5,5,22,5,0
10,-d8gt_XhhUQh2CxlWJe-xw,4.0,1,2,0,17,11,9,7,5,1,13,17,5,5,0,5,4,0,9,4,1,16,7,2,2,2,4,115,126,6,1,2,12,3,11,2,0,7,3,30,7,1,0,0,17,0,0,3,5,8,12,0,2,2,2,1,6,3,0,17,5,5,0,19,10,0
11,-gP02HuP8GyZHa4R3omLAg,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
12,-i3pCgQi_Y9NiSSWs6G7bw,4.0,1,4,4,22,3,13,6,3,0,18,11,6,1,2,5,1,0,37,8,6,8,13,6,0,1,1,80,61,1,0,9,4,8,1,1,4,2,4,23,5,5,0,3,18,0,2,3,5,5,6,4,0,0,14,2,5,7,4,9,13,4,2,21,4,0
13,-kmPZ1i8fJBCAlVcTWqAeA,4.0,1,0,0,3,4,4,1,0,0,6,2,3,0,1,2,0,0,6,0,0,0,1,0,0,1,0,24,20,0,0,3,1,2,3,1,0,0,0,8,3,2,4,0,3,0,1,2,1,6,3,0,0,1,1,1,1,0,3,2,0,6,0,3,0,0
14,-wXyBph4d0IQlQrS8H1rDw,3.5,0,4,0,8,5,4,1,0,4,10,4,1,1,0,3,2,0,23,11,0,11,3,3,2,6,5,29,50,4,0,1,3,4,1,0,1,4,3,11,11,3,1,0,17,0,4,5,0,3,5,0,0,5,3,0,9,1,1,7,2,6,4,20,6,0
15,-zu_7iWh5CnV9kEQyCDAQQ,3.0,2,0,1,1,4,0,1,1,0,1,2,0,0,2,0,0,0,4,2,0,1,0,2,0,1,0,11,14,0,0,0,0,1,1,3,1,0,1,8,5,0,0,0,2,0,0,1,0,0,0,0,0,2,2,0,1,0,2,2,1,3,0,2,0,0
16,0-kqF27U3eBsSDtlm986Ww,4.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
