,names,stars,NOTbad,NOTgood,NOTmuch,amaz,averag,awesom,bad,basic,beauti,best,better,big,clean,complet,cool,crowd,deli,delici,disappoint,easi,fantast,favorit,fine,free,fresh,fun,good,great,happi,hate,high,huge,kind,larg,least,less,long,new,nice,ok,okay,old,origin,perfect,pertti,pleas,pleasant,plenti,quick,recommend,regular,serious,slow,small,soft,special,spici,surpris,sweet,tasti,top,warm,well,worth,wrong
0,--ujyvoQlwVoBgMYtADiLA,3.5,0,3,0,10,0,1,3,0,1,7,2,4,3,1,1,0,1,4,1,0,1,7,0,2,9,3,42,44,4,0,5,3,2,1,0,0,4,0,7,10,0,1,1,6,0,1,1,0,8,5,1,3,0,2,0,3,3,2,1,2,6,0,2,0,1
1,-1xCh7Cocn6IwFzhELyohA,2.5,1,1,0,1,1,0,3,1,0,2,4,0,1,0,0,0,0,1,1,0,0,2,0,0,1,0,26,20,1,0,0,0,1,0,0,1,0,2,4,1,1,2,0,0,0,1,0,0,6,2,1,0,0,1,0,9,0,0,0,0,2,0,0,0,0
2,-382X_bWhJKPJKP1VfXOmw,2.0,0,1,0,0,1,1,0,1,0,0,3,0,2,1,1,0,0,2,1,0,0,1,0,0,2,0,19,7,0,0,2,2,5,1,3,0,10,2,5,2,0,3,1,0,0,2,0,3,3,1,0,0,5,2,0,0,0,2,0,3,4,1,2,0,1
3,-7teXSpi9nqy58WUd-8yfw,4.5,0,0,0,1,0,3,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,2,0,0,1,1,0,0,3,0,0
4,-8F04F54iDT6VgWPCgybug,4.5,0,1,0,17,0,3,0,0,0,7,7,1,4,1,7,0,0,18,1,2,6,2,0,0,15,1,37,40,3,0,7,2,1,4,0,1,1,5,9,3,1,0,1,21,0,0,0,8,7,6,6,0,0,8,1,0,2,0,6,12,10,0,12,3,0
5,-CfqFIH6rxUxJL9gR-k_XA,2.5,0,0,0,2,0,1,4,0,0,1,3,0,1,0,1,0,0,1,0,0,0,0,0,4,1,0,3,3,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,4,2,0,0,0,0
6,-Enu_Cc8lJ-yVcRvatf0hw,4.0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
7,-Ewxv_Wc1uQzJQQBeQJWyA,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,-InU2nAbC9AuS-Um2Cowgw,4.0,0,2,0,4,0,3,3,2,0,5,1,1,0,1,0,0,1,6,1,0,3,2,3,0,3,0,22,23,0,0,2,3,1,0,2,0,2,0,8,1,0,2,0,3,0,0,5,2,5,0,1,1,0,1,2,5,0,1,0,6,0,0,8,0,0
9,-Js0NjBhIXdH343IDLeKpA,2.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,2,0,0,1,0,2,5,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2
10,-N94ldMGlQw_SHdfm2pi_A,3.5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11,-RxzvvyKBOPOzeTvagqEfg,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-WgUeWBmBR6l_6RFEPzzaw,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
13,-Z83meSvAH4vJ6dfO8hjUw,4.0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,2,6,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0
14,-k80VNg0yqYQakKZILwViQ,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-m3VtLuy5sEzpJoOU5zYUg,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-nHkhiuerqmfBG3v2v9O-g,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-qSmAF1bILHpcuqsQMDTgg,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,-s3nJbZRXLMSpwud22iIPA,2.5,0,0,1,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0
19,09pf_DnQV5Y5y2reoIPXlw,3.5,0,0,0,4,1,0,2,0,0,2,1,0,0,0,1,0,1,4,2,0,1,0,0,0,3,1,25,17,4,0,5,4,1,1,1,0,2,6,4,3,0,2,0,1,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,1,2,0,3,0,0
20,0AoLth4u_V4mOx8Az_AIYQ,4.0,0,0,0,1,1,2,0,4,0,2,0,0,0,0,0,0,0,4,1,0,4,1,1,0,3,0,10,9,1,0,0,0,2,0,0,3,1,0,3,0,0,1,0,3,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,3,4,0,1,0,0
21,0GYM_KIMzwH_CeL6S279Pw,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0Ge4hEQ8HYnrkfm8UHj2BQ,4.0,0,0,2,3,1,2,0,1,0,9,3,2,3,1,0,0,0,9,0,0,3,0,1,2,6,0,16,20,1,0,1,2,0,2,2,1,2,0,1,0,0,1,0,2,0,1,0,0,4,4,1,3,0,0,0,0,0,0,0,1,2,1,1,0,0
23,0HaSwss_agyMiGTT9kIX6g,3.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6,0,3,6,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,1,3,1,0
24,0IfrcGbFzQvn9w8bl9GKDg,4.5,0,1,0,5,0,1,0,0,1,0,5,0,0,0,1,0,1,10,1,1,0,2,0,1,20,1,18,20,1,0,2,2,1,2,0,0,0,0,3,0,0,0,0,4,0,3,0,1,0,4,5,2,0,0,0,1,1,0,11,3,1,0,3,1,0
25,0IhSOm9Vm1JkvRO6XyElGg,4.0,0,0,0,0,0,0,0,1,0,2,1,0,3,0,1,0,0,5,2,0,0,1,0,0,2,0,7,6,0,0,0,0,2,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,3,0,0
26,0MR1J0U8uOXtvZlHV-johQ,4.5,0,0,1,4,0,4,0,0,0,1,0,1,1,0,4,0,0,5,1,0,1,0,1,0,0,11,11,14,0,0,1,0,0,0,0,2,0,0,10,1,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,2,0,0,1,0,3,1,0
27,0OkfU0vDBprsIEd5hWuhAQ,5.0,0,0,0,7,0,5,0,2,0,8,0,2,0,0,0,0,0,15,0,1,4,0,0,1,12,0,9,13,1,0,1,2,2,2,0,0,0,2,9,0,0,0,0,0,0,2,3,0,0,3,0,0,0,3,0,1,0,0,3,2,0,3,2,1,0
28,0PJQ-WR-S286xH6m2RWeQw,3.5,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0
29,0PVxodALQu-soL5J8bjerQ,3.5,6,5,3,4,10,15,13,6,0,27,22,5,7,5,0,5,0,25,4,5,8,14,9,2,7,1,145,83,0,1,2,11,6,7,6,5,11,2,19,19,7,21,0,12,0,2,9,5,18,5,7,1,2,4,2,7,0,2,3,12,8,3,30,1,2
30,0SySGK7xWEHSo4ZLvD1C0A,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0Z-IUyIOGb1lil5YRk7GAg,3.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0bjFYstj8USMzEV4ZQldjA,5.0,0,1,0,7,0,16,2,0,4,24,12,0,2,0,5,2,0,10,0,0,6,8,0,3,3,1,44,66,4,0,6,2,1,1,0,1,1,7,19,0,0,0,0,8,0,1,3,0,4,4,4,2,0,14,0,0,0,0,3,1,0,0,5,1,0
33,0dRqzEG9-2QNnvJtdpdDZw,2.5,0,0,0,0,2,1,0,1,0,2,3,1,2,1,0,0,0,1,3,0,0,3,0,1,3,0,8,5,1,0,1,0,3,1,0,0,3,0,3,6,0,0,0,1,0,1,1,0,9,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,5
34,0h4RFNScYBmtNhXAdz_UBA,4.0,0,0,1,3,1,0,1,1,0,9,0,2,2,0,2,0,0,9,2,0,1,10,0,0,3,0,11,10,0,0,3,0,0,0,0,1,2,0,5,0,0,0,0,1,0,0,0,0,4,0,3,2,0,1,0,0,15,1,0,2,1,0,1,2,0
35,0lpT5sj09vUfDp5zUBwjIw,4.5,2,2,1,1,0,5,1,1,1,4,1,2,0,0,2,2,0,2,1,1,1,5,1,2,0,1,27,31,2,0,1,0,2,3,1,0,0,2,14,1,2,1,0,2,0,0,2,0,1,2,1,2,1,7,0,0,0,0,1,3,3,1,1,1,0
36,0tsl6aGhI-4nJgeVRfC3HQ,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0u2xwNy07-z3gv0tpuJX2Q,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0vwquUvc7JupcCMjYEiKWQ,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
39,0wGi2PTfGWTy0-AxGpfjMw,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,0xxW5PmeFV1MWkvDwU7XaQ,3.0,0,0,1,3,4,0,0,0,2,1,1,2,0,0,0,2,0,5,3,1,0,1,0,0,1,0,15,16,0,0,2,2,0,1,0,1,4,0,3,0,1,0,0,2,0,0,1,0,0,2,1,0,2,6,0,1,2,0,4,1,0,1,3,0,0
41,0yFe_kQiynisvahzVuq6Mw,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0
42,1A-W9AWb4sEESvusqf8NIw,4.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,1JbrO_ZoY6a8R3llJHVzUQ,2.5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1
44,1QflFDnReuQW7CoXGL9oUA,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1RHY4K3BD22FK7Cfftn8Mg,4.0,0,0,1,2,2,3,2,0,0,4,2,3,1,0,0,0,0,2,1,0,3,2,0,2,6,0,13,18,0,0,0,0,4,1,0,1,2,1,0,0,0,1,0,3,0,0,3,0,1,0,0,0,0,3,0,1,0,3,0,1,2,0,5,1,0
46,1TGti2jN5PstqlHelBBfNw,4.5,0,0,0,1,2,4,0,0,0,12,1,1,7,0,0,1,0,1,0,0,2,0,0,1,5,3,9,6,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,0,0,2,1,5,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0
47,1V3fj_J0242-2PZJA6NYSg,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
