,names,stars,food_scores,overrate_scores,price_scores,service_scores
0,--ujyvoQlwVoBgMYtADiLA,3.5,0.10899732606191273,0.7882904738799935,0.5988533382652118,0.9756951379763469
1,-1xCh7Cocn6IwFzhELyohA,2.5,0.14665440671338129,0.7191654536632702,0.5988533382652118,0.9561208935611037
2,-382X_bWhJKPJKP1VfXOmw,2.0,0.0915268926302884,0.7384117742196344,0.5226558165341224,0.8955164257555848
3,-7teXSpi9nqy58WUd-8yfw,4.5,0.15296405508523836,0.7649037683972182,0.5648233771037544,0.9537240473061761
4,-8F04F54iDT6VgWPCgybug,4.5,0.188000042275701,0.8224163027656477,0.5648233771037544,0.9616609724047306
5,-CfqFIH6rxUxJL9gR-k_XA,2.5,0.12152150247841295,0.7218178877567524,0.550397632698354,0.9371773981603153
6,-Enu_Cc8lJ-yVcRvatf0hw,4.0,0.1280002536542059,0.7532912825489244,0.5648233771037544,0.9537240473061761
7,-Ewxv_Wc1uQzJQQBeQJWyA,1.5,0.11076233657799338,0.7520621057738962,0.5648233771037544,0.9517897503285151
8,-InU2nAbC9AuS-Um2Cowgw,4.0,0.1427333354471184,0.7683972181788775,0.4923247641945626,0.9601156373193166
9,-Js0NjBhIXdH343IDLeKpA,2.5,0.1206759884587336,0.7209121785541,0.5648233771037544,0.9287148488830486
10,-N94ldMGlQw_SHdfm2pi_A,3.5,0.10595347559106712,0.7520621057738962,0.5648233771037544,0.9517897503285151
11,-RxzvvyKBOPOzeTvagqEfg,2.5,0.1205702992062737,0.7520621057738962,0.5648233771037544,0.955658344283837
12,-WgUeWBmBR6l_6RFEPzzaw,3.5,0.1205702992062737,0.7520621057738962,0.5648233771037544,0.9517897503285151
13,-Z83meSvAH4vJ6dfO8hjUw,4.0,0.10287791834448352,0.7552967814976549,0.6452746439800259,0.9536504599211563
14,-k80VNg0yqYQakKZILwViQ,3.5,0.11253791601931998,0.7274785702733301,0.5648233771037544,0.9517897503285151
15,-m3VtLuy5sEzpJoOU5zYUg,4.5,0.1205702992062737,0.7355329128254893,0.5648233771037544,0.9517897503285151
16,-nHkhiuerqmfBG3v2v9O-g,2.5,0.1205702992062737,0.7520621057738962,0.5648233771037544,0.9537240473061761
17,-qSmAF1bILHpcuqsQMDTgg,4.0,0.13640254922476933,0.771340773087498,0.5648233771037544,0.9517897503285151
18,-s3nJbZRXLMSpwud22iIPA,2.5,0.11318262045932546,0.7468219311014072,0.5648233771037544,0.937934296977661
19,09pf_DnQV5Y5y2reoIPXlw,3.5,0.10747540082648993,0.7708879184861718,0.6323284631033845,0.9369566360052562
20,0AoLth4u_V4mOx8Az_AIYQ,4.0,0.1410528763330057,0.7744784085395439,0.7551322359903828,0.9544178712220762
21,0GYM_KIMzwH_CeL6S279Pw,4.0,0.12284261813416193,0.7580139091056122,0.5648233771037544,0.9517897503285151
22,0Ge4hEQ8HYnrkfm8UHj2BQ,4.0,0.149592567931767,0.8179201035096232,0.663214351766229,0.9615978975032851
23,0HaSwss_agyMiGTT9kIX6g,3.0,0.14359998731728968,0.7624454148471616,0.5648233771037544,0.954880420499343
24,0IfrcGbFzQvn9w8bl9GKDg,4.5,0.19557796167707706,0.7689471130519165,0.7203624930645459,0.960178712220762
25,0IhSOm9Vm1JkvRO6XyElGg,4.0,0.13972119175201073,0.756622998544396,0.5648233771037544,0.9411721419185283
26,0MR1J0U8uOXtvZlHV-johQ,4.5,0.13069532959193378,0.753097202005499,0.6158683188459404,0.9516636005256242
27,0OkfU0vDBprsIEd5hWuhAQ,5.0,0.21651500258938666,0.7963124696749151,0.6402811170704643,0.9509802890932982
28,0PJQ-WR-S286xH6m2RWeQw,3.5,0.12449137047253664,0.7182273977033803,0.5648233771037544,0.9576136662286464
29,0PVxodALQu-soL5J8bjerQ,3.5,0.1090924463891267,0.8203461103024422,0.8477899019789162,0.9013823915900131
30,0SySGK7xWEHSo4ZLvD1C0A,2.0,0.12398406206072904,0.7592430858806405,0.5648233771037544,0.9517897503285151
31,0Z-IUyIOGb1lil5YRk7GAg,3.5,0.1205702992062737,0.771340773087498,0.6005178472350656,0.955658344283837
32,0bjFYstj8USMzEV4ZQldjA,5.0,0.20903220351522453,0.8082807698528223,0.4819678194932495,0.9835374507227331
33,0dRqzEG9-2QNnvJtdpdDZw,2.5,0.07285160172062101,0.7240821607633835,0.538376179027187,0.9265703022339028
34,0h4RFNScYBmtNhXAdz_UBA,4.0,0.1602037688787427,0.7463043829856056,0.5193267985944147,0.9479316688567675
35,0lpT5sj09vUfDp5zUBwjIw,4.5,0.13934071044315502,0.7247290959081353,0.5648233771037544,0.9431064388961892
36,0tsl6aGhI-4nJgeVRfC3HQ,4.0,0.12410032023843495,0.7457544881125667,0.5052709450712041,0.9469224704336399
37,0u2xwNy07-z3gv0tpuJX2Q,3.5,0.1205702992062737,0.7520621057738962,0.5648233771037544,0.9497398160315375
38,0vwquUvc7JupcCMjYEiKWQ,3.0,0.1191646321485568,0.7696910884683811,0.5648233771037544,0.9517897503285151
39,0wGi2PTfGWTy0-AxGpfjMw,5.0,0.12448080154729063,0.7640304059518034,0.5648233771037544,0.9517897503285151
40,0xxW5PmeFV1MWkvDwU7XaQ,3.0,0.09861864147034886,0.8055636422448649,0.597003883854263,0.9382181340341655
