,Unnamed: 0,AcceptsInsurance,AgesAllowed,Alcohol,Ambience_casual,Ambience_classy,Ambience_divey,Ambience_hipster,Ambience_intimate,Ambience_romantic,Ambience_touristy,Ambience_trendy,Ambience_upscale,BYOB,BYOBCorkage,BestNights_friday,BestNights_monday,BestNights_saturday,BestNights_sunday,BestNights_thursday,BestNights_tuesday,BestNights_wednesday,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,BusinessParking_garage,BusinessParking_lot,BusinessParking_street,BusinessParking_valet,BusinessParking_validated,ByAppointmentOnly,Caters,CoatCheck,Corkage,DogsAllowed,DriveThru,GoodForDancing,GoodForKids,GoodForMeal_breakfast,GoodForMeal_brunch,GoodForMeal_dessert,GoodForMeal_dinner,GoodForMeal_latenight,GoodForMeal_lunch,HappyHour,HasTV,Music_background_music,Music_dj,Music_jukebox,Music_karaoke,Music_live,Music_no_music,Music_video,NoiseLevel,Open24Hours,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTableService,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,business_id,stars
1,1,Na,Na,full_bar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,FALSE,Na,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Na,TRUE,FALSE,Na,Na,Na,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,loud,Na,TRUE,casual,FALSE,TRUE,2,FALSE,TRUE,TRUE,Na,Na,free,#NAME?,3.5
2,2,Na,Na,full_bar,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Na,FALSE,Na,Na,Na,Na,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,average,Na,FALSE,casual,FALSE,TRUE,1,FALSE,Na,TRUE,Na,Na,free,-1xCh7Cocn6IwFzhELyohA,2.5
4,4,Na,Na,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,FALSE,Na,TRUE,Na,Na,Na,Na,Na,Na,FALSE,Na,Na,Na,FALSE,Na,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Na,FALSE,Na,Na,Na,Na,Na,Na,Na,loud,Na,FALSE,casual,FALSE,TRUE,2,FALSE,TRUE,FALSE,Na,Na,no,-382X_bWhJKPJKP1VfXOmw,2
9,9,Na,Na,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,FALSE,Na,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,TRUE,Na,Na,Na,Na,Na,TRUE,Na,Na,Na,Na,Na,Na,Na,TRUE,Na,Na,Na,Na,Na,Na,Na,quiet,Na,FALSE,casual,FALSE,FALSE,1,FALSE,Na,TRUE,Na,Na,Na,-7teXSpi9nqy58WUd-8yfw,4.5
10,10,Na,Na,none,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,TRUE,Na,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Na,FALSE,Na,Na,Na,Na,Na,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Na,FALSE,Na,Na,Na,Na,Na,Na,Na,quiet,Na,TRUE,casual,FALSE,TRUE,1,FALSE,FALSE,TRUE,Na,Na,free,-8F04F54iDT6VgWPCgybug,4.5
14,14,Na,Na,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,TRUE,Na,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Na,FALSE,Na,Na,Na,Na,Na,TRUE,Na,Na,Na,Na,Na,Na,Na,TRUE,Na,Na,Na,Na,Na,Na,Na,average,Na,FALSE,casual,FALSE,TRUE,1,FALSE,Na,TRUE,Na,Na,free,#NAME?,2.5
16,16,Na,Na,full_bar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,TRUE,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,casual,TRUE,FALSE,1,Na,Na,TRUE,Na,Na,no,#NAME?,4
17,17,Na,Na,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,TRUE,Na,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,FALSE,Na,Na,Na,Na,Na,TRUE,Na,Na,Na,Na,Na,Na,Na,FALSE,Na,Na,Na,Na,Na,Na,Na,loud,Na,TRUE,casual,FALSE,TRUE,1,FALSE,Na,TRUE,Na,Na,free,#NAME?,1.5
22,22,Na,Na,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,TRUE,Na,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Na,FALSE,Na,Na,Na,Na,Na,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Na,FALSE,Na,Na,Na,Na,Na,Na,Na,average,Na,FALSE,casual,FALSE,TRUE,1,FALSE,TRUE,TRUE,Na,Na,no,#NAME?,4
25,25,Na,Na,none,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,Na,Na,Na,Na,Na,Na,Na,Na,FALSE,Na,TRUE,Na,Na,Na,Na,Na,Na,FALSE,Na,Na,Na,Na,Na,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Na,TRUE,Na,Na,Na,Na,Na,Na,Na,average,Na,FALSE,casual,FALSE,TRUE,1,FALSE,TRUE,TRUE,Na,Na,free,#NAME?,2.5
